Question,Answer
How many years of work experience do you have with AWS Lambda?,1
How many years of work experience do you have with DevOps?,1
How many years of work experience do you have with Hyperion?,0
How many years of work experience do you have with Spring Framework?,0
How many years of work experience do you have with Red Hat Linux?,1
How many years of work experience do you have with React Native?,0
How many years of urn:li:industry:5 experience do you currently have?,2
How many years of work experience do you have with Java?,1
How many years of work experience do you have with Group Policy?,0
How many years of work experience do you have with Cisco Systems Products?,1
How many years of work experience do you have with GraphQL?,0
How many years of work experience do you have with Databases?,0
How many years of work experience do you have with Git?,4
Description,
How many years of urn:li:industry:27 experience do you currently have?,1
Major / Field of study,
How many years of work experience do you have with Microsoft Azure?,1
How many years of work experience do you have with Jenkins?,1
How many years of work experience do you have with C (Programming Language)?,0
How many years of work experience do you have with Desktop Support?,0
How many years of work experience do you have with Microsoft Excel?,0
How many years of urn:li:industry:6 experience do you currently have?,12
How many years of work experience do you have with PostgreSQL?,0
How many years of work experience do you have with Hyper-V?,1
How many years of work experience do you have with Apache?,1
State / Province,
How many years of work experience do you have with Powershell?,2
How many years of work experience do you have with Amazon Web Services (AWS)?,2
First name,
What is your level of proficiency in eng?,Native or bilingual
How many years of work experience do you have with Firewalls?,1
How many years of work experience do you have with Jira?,1
School,
How many years of work experience do you have with Representational State Transfer (REST)?,0
Do you speak English?,Yes
City,
How many years of work experience do you have with JavaScript?,0
How many years of work experience do you have with Microsoft Entra ID?,0
Are you comfortable working in a remote setting?,Yes
How many years of work experience do you have with Kotlin?,0
How many years of work experience do you have with TypeScript?,1
How many years of work experience do you have with Active Directory?,1
Company,
How many years of work experience do you have with Hadoop?,0
Country,
How many years of work experience do you have with GitHub?,1
How many years of work experience do you have with Software as a Service (SaaS)?,2
Degree,
How many years of work experience do you have with Microsoft Endpoint Configuration Manager?,0
How many years of work experience do you have with VMware?,2
Industry,
How many years of work experience do you have with API Gateways?,1
How many years of QA experience do you currently have?,0
How many years of work experience do you have with SOAP?,0
Mobile phone number, +61 0426878748
How many years of work experience do you have with iOS?,0
How many years of work experience do you have with .NET Core?,0
Your title,
How many years of work experience do you have with C++?,0
How many years of work experience do you have with jQuery?,0
How many years of work experience do you have with Technical Support?,0
How many years of urn:li:industry:118 experience do you currently have?,1
Street address line 1,
How many years of work experience do you have with Open-Source Software?,1
How many years of work experience do you have with Generative AI?,1
How many years of work experience do you have with Python (Programming Language)?,1
How many years of work experience do you have with Azure DevOps Services?,1
