Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Introduction to Terraform on Azure,"Are you wondering how to use Terraform for Azure? In this course, cloud engineer Alexandra Illarionov introduces you to everything you need to get started, including the base concepts, commands, and use-cases for Terraform in an Azure environment. Alexandra begins by defining Infrastructure as Code (IaC) and Terraform. She explains why Terraform is useful and how it compares to Bicep. Alexandra guides you through all the steps in installing and setting up Terraform in your environment, then shows you how to get started with Terraform commands, workspaces, state files, resources, and more. She steps through creating with Terraform and using Terraform to create a resource group, a virtual network, a subnet, an internal network interface, and more. After completing this course, you will know how to set up Terraform on Visual Studio Code and start deploying resources at a base level.",Course,N/A,N/A,true,N/A,
JavaScript Essential Training,"<p>JavaScript is a scripting language of the web. As the web evolves from a static to a dynamic environment, technology focus is shifting from static markup and styling to dynamic interfaces and advanced interaction. Once seen as optional, JavaScript is now becoming an integral part of the web, infusing every layer with its script.</p><p>This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice alongside the course content to advance your programming skills. Instructor Morten Rand-Hendriksen helps you build your understanding of JavaScript piece by piece, from core principles like variables, data types, conditionals, and functions through advanced topics including loops, and DOM scripting. </p>",Course,2024-01-30 09:45 UTC,N/A,true,N/A,
DevOps with AWS,"DevOps describes a culture and set of processes that bring development and operations teams together to simplify software development. It allows organizations to create and improve products at a faster pace than they can deliver with traditional software development approaches. And it’s gaining in popularity at a rapid rate. In this course, programmer Dipali Kulshrestha covers the concepts of DevOps with hands-on demos to create and automate CI/CD (continuous implementation and continuous delivery) pipelines. She covers AWS services like CodeCommit, CodeBuild, CodeDeploy, and CodePipeline, and how to implement DevOps with AWS offerings to increase security, scalability, reliability, and simplicity of the development processes.",Course,N/A,N/A,true,N/A,
Microsoft Entra ID Fundamentals,"Microsoft Entra ID is Microsoft's cloud-based identity and access management service. In this beginning-level course, IT consultant and trainer Kunal D Mehta provides an introduction to Entra ID. Explore the place that Entra ID holds at the helm of all Microsoft cloud products. Learn why it’s needed today. Dive into key features that set Entra ID apart from its competitors, as well as information on the industry standards and compliance regulations it fulfills. Plus, discover the business objectives it helps achieve.",Course,2024-06-25 22:20 UTC,N/A,false,N/A,
Advanced SQL for Data Science: Time Series,"Time series data is data gathered over time: performance metrics, user interactions, and information collected by sensors. Since different time series data have different measures and different intervals,  these data present a unique challenge for data scientists. However, SQL has some features designed to help. This course teaches you how to standardize and model time series data with them. Instructor Dan Sullivan discusses windowing and the difference between sliding and tumbling window calculations. Then learn how SQL constructs such as OVER and PARTITION BY help to simplify analysis, and how denormalization can be used to augment data while avoiding joins. Plus, discover optimization techniques such as indexing. Dan also introduces time series analysis techniques such as previous time period comparisons, moving averages, exponential smoothing, and linear regression.",Course,2024-06-17 08:55 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaLearningPath:1~AAAAAAd4ABI=1057003,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaLearningPath:1~AAAAAAd4ABI=1057003,Learning Path,2024-02-04 10:20 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaLearningPath:1~AAAAAAd4ABI=1453627,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaLearningPath:1~AAAAAAd4ABI=1453627,Learning Path,2024-02-09 22:55 UTC,N/A,false,N/A,
Getting Started with DevOps,"DevOps is a set of practices, tools, and cultural philosophy that automate and integrate the processes between software development and IT teams. This learning path provides an overview of DevOps and the key components of the DevOps methodology.",Learning Path,2024-06-23 08:24 UTC,N/A,false,N/A,
Introducing Daily,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeVideo:60347605,Video (3rd Party Provider),2024-02-02 08:05 UTC,N/A,false,N/A,
Embedding DIBs in your company culture,"Fostering diversity, inclusion, and belonging into your company culture is at the heart of a DIBs-oriented company. This video helps you foster a workplace in which diversity, inclusion, and belonging aren’t merely buzzwords but are deeply rooted in your culture and philosophy. Also, learn how to foster an environment where everyone embraces uniqueness, seeing it as a driver of innovation and not having to assimilate to fit in.",Video (3rd Party Provider),2024-02-02 08:05 UTC,N/A,false,N/A,
How community outreach plays a role in DEIB,Learn to make sure your influence extends beyond pipelines. Dr. Tana M. Session shares the importance of giving back to the communities in which organizations serve. True commitment comes from giving back. What is your organization doing to uplift underrepresented or marginalized communities?,Video (3rd Party Provider),2024-02-02 08:05 UTC,N/A,false,N/A,
Learn from your mistakes with Sarah Robb O'hagan,LEP ZINC DAILY BITE 5-Dec-203,Video (3rd Party Provider),2024-02-02 08:05 UTC,N/A,false,N/A,
Pivot data in Power Query,"Yes, it's possible to create a pivot table in Power Query. Learn about how to generate pivoted data in Power Query.",Video (3rd Party Provider),2024-02-02 08:05 UTC,N/A,false,N/A,
How to create aesthetically pleasing bar charts,"Bar charts are a useful tool and there are ways to make them less boring. In this video, learn how to articulate why bar charts work so well and explore alternatives that may be more aesthetically pleasing.",Video (3rd Party Provider),2024-02-07 06:37 UTC,2024-02-07 06:36 UTC,false,N/A,
Voluntary disability disclosures,"In this video, learn how to differentiate between inclusive disclosure and forced disclosure. This allows you to gauge how successful you are with inclusion for workers with disabilities.",Video (3rd Party Provider),2024-02-07 06:37 UTC,N/A,false,N/A,
The benefits of Microsoft Excel for agile teams,"In this video, learn how to assess whether Microsoft Excel is the best fit for your team.",Video (3rd Party Provider),2024-02-02 08:05 UTC,N/A,false,N/A,
What green jobs and skills are in demand?,"There are a set of ""green skills"" that go beyond jobs in sustainability, but are more widespread to larger workforce. Recognize that the vast majority of green skills are showing up in non-green jobs and sectors like fashion and finance.",Video (3rd Party Provider),2024-02-02 08:05 UTC,N/A,false,N/A,
Building equity into talent systems and processes,"How organizations bring DEIB into their talent practices greatly impacts whether an organization makes progress toward their DEIB goals or metrics. In this video, learn how to apply a DEIB lens to the talent lifecycle and understand the benefits.",Video (3rd Party Provider),2024-02-02 08:05 UTC,N/A,false,N/A,
SQL for Finance: Income Statement Project,"SQL is a powerful tool to have in your toolkit, when you need to create financial reports. How do you get started, though? In this course, data analytics expert Gabriela Baldivia Soncini guides you through the fundamental concepts of financial accounting via an income statement project. Learn how to extract data from a relational database, manipulate data using SQL queries, and transform the data. Find out how to prepare basic financial statements like balance sheets and income statements. Plus, solidify what you learn with a course-spanning project, as well as several hands-on challenges.",Course,2024-06-17 09:10 UTC,N/A,false,N/A,
