Date,ShareLink,ShareCommentary,SharedUrl,MediaUrl,Visibility
2024-09-10 21:24:44,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7239383320248098817,Nice piece of knowledge,"","",MEMBER_NETWORK
2024-07-09 08:43:33,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7216361322806984704,"🌟 First Day as a DevOps Engineer at ServiceNow 🌟""
""""
"" I'm thrilled to share that today marked my first day as a DevOps Engineer with ServiceNow, and it was nothing short of amazing! 🚀""
""""
"" From the warm welcome from my new team to diving into the exciting projects, everything exceeded my expectations. The collaborative environment and the innovative spirit at ServiceNow are truly inspiring.I'm eager to contribute to the team's efforts, learn from my colleagues, and grow in this dynamic field.""
""""
""  A big thank you to everyone who has supported me on this journey!Here’s to new beginnings and making great things happen! 💪""
""""
""#NewBeginnings #DevOps #ServiceNow #ExcitedToStart #CareerJourney","","",MEMBER_NETWORK
2024-06-16 05:00:33,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7207970284820197376,Just finished the course “Learning Ansible” by Anthony Sequeira! Check it out: https://lnkd.in/g37Jtm-a #ansible.,"","",MEMBER_NETWORK
2024-06-11 04:20:40,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7206148305695776768,"🎉 Exciting News! 🎉""
""""
""I'm thrilled to announce that I have successfully completed the Tech Bootcamp/Live Industry Project with Employability Advantage, led by industry experts.""
""""
"" This journey has been incredibly rewarding, and I'm grateful for the opportunity to grow and learn alongside such talented professionals.""
""""
"" During this program, I gained hands-on experience and developed a robust set of technical skills, including AWS DevOps tools, Building & Deploying applications, scripting and Agile software development.""
""""
"" This experience has been transformative, pushing me to take risks and step out of my comfort zone, ultimately preparing me for the dynamic challenges of the tech industry.""
""""
"" I want to extend my heartfelt thanks to Callum and the entire team at Employability Advantage for their guidance and support throughout this journey.""
""""
"" I'm excited to add my Completion Certificate to my resume and LinkedIn profile.""
""""
"" Feel free to check it out and connect with me!""
""ECA Internships ""
""""
""#TechBootcamp #LiveIndustryProject #EmployabilityAdvantage #TechSkills #CareerGrowth #Certification","","",MEMBER_NETWORK
2024-04-21 09:06:21,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7187738420947910656,"So far really satisfied with AWS studying materials, labs and Certifications 🤓 🤓","","",MEMBER_NETWORK
2024-03-16 07:10:17,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7174663248607158274,I’m happy to share that I’m starting a new position as AWS DevOps/ Fullstack Developer at AusBiz Consulting,"","",MEMBER_NETWORK
2024-03-10 06:24:19,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7172477353950994432,Just finished the course “Node.js Essential Training” by Eve Porcello! Check it out: https://lnkd.in/gg3imZYg #nodejs.,"","",MEMBER_NETWORK
2024-02-27 10:05:29,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7168184359747870720,"Just finished the course “Build a Faster, More Structured Express API with Node.js and TypeScript” by Dakota Fabro! Check it out: https://lnkd.in/ggtTKiBE #apidevelopment #nodejs #typescript.","","",MEMBER_NETWORK
2024-02-24 22:50:26,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7167289701387657216,I’m happy to share that I’ve obtained a new certification: Python 3 from Programming Hub!,"","",MEMBER_NETWORK
2024-02-04 09:45:33,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7159844419247001600,Just finished the course “Learning Terraform”! #terraform,"","",MEMBER_NETWORK
2024-01-26 21:34:19,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7156761296271462400,The story of my life as a student,"","",MEMBER_NETWORK
2024-01-07 11:42:49,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7149727072104460288,"Is anyone looking to enhance their test, debug and audit skills? I need help with a blockchain project. Let me know if interested.","","",MEMBER_NETWORK
2023-08-27 19:16:07,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7101643560524943360,I’m happy to share that I’ve obtained a new certification: CompTIA Cloud Essentials+ Certification from CompTIA!,"","",MEMBER_NETWORK
2023-08-27 19:13:35,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7101642926207729664,View my verified achievement from CompTIA.,https://www.credly.com/badges/6fdde165-8235-4e0c-bd89-dbbea3ac3720/linked_in?t=s02den,"",MEMBER_NETWORK
2023-07-13 06:09:33,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7085138161651105793,"","","",MEMBER_NETWORK
2023-04-11 08:43:49,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7051474913924128768,First Badge on this cloud study with Kubernetes!,"","",MEMBER_NETWORK
